ResponseId;Question;Question_Text;Response_Text;Human_Actor_Comparator;Human_Characteristics;Iteration1_Actor_Comparator;Iteration1_Characteristics;Iteration1_Themes;Iteration1_SubThemes;Iteration1_Reasonings;Iteration2_Actor_Comparator;Iteration2_Characteristics;Iteration2_Themes;Iteration2_SubThemes;Iteration2_Reasonings;Iteration3_Actor_Comparator;Iteration3_Characteristics;Iteration3_Themes;Iteration3_SubThemes;Iteration3_Reasonings;Human_Chunks;Iteration1_Chunks;Iteration2_Chunks;Iteration3_Chunks;Iteration1_Agreement;Iteration2_Agreement;Iteration3_Agreement;Iteration1_Multiset_Agreement;Iteration2_Multiset_Agreement;Iteration3_Multiset_Agreement;Iteration1_Actor_Agreement;Iteration2_Actor_Agreement;Iteration3_Actor_Agreement;LLM_Inter_Agreement_Set;LLM_Inter_Agreement_Multiset;Iteration1_ACChar_Multiset_Agreement;Iteration2_ACChar_Multiset_Agreement;Iteration3_ACChar_Multiset_Agreement
R_1gTNWbmwxtRxrf8;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;between AI and a teacher, the teacher is always going to be the more trustworthy source, however AI's ability to collate large amounts of information into a digestible chunk is useful;['T-more', 'A-more'];['Reliable', 'Understandable'];['T-more', 'A-more', 'A-more'];['Reliable', 'Understandable', 'Utility'];['Information', 'Information', 'Information'];['Quality', 'Quality', 'Quality'];"[""The phrase 'the teacher is always going to be the more trustworthy source' explicitly compares the teacher to AI in terms of trustworthiness, which aligns with the Reliable code capturing accuracy and trust."", ""The statement 'AI's ability to collate large amounts of information into a digestible chunk' highlights AI's capacity to present information in an understandable and comprehensible way, which directly maps to the Understandable code."", ""The phrase 'is useful' explicitly attributes utility to AI's feedback, indicating its practical and helpful nature, which aligns with the Utility code.""]";['T-more', 'A-more', 'A-more'];['Reliable', 'Understandable', 'Utility'];['Information', 'Information', 'Information'];['Quality', 'Quality', 'Quality'];"[""The phrase 'the teacher is always going to be the more trustworthy source' explicitly compares the reliability of teacher feedback to AI, indicating that the teacher is perceived as more reliable."", ""The statement 'AI's ability to collate large amounts of information into a digestible chunk' highlights AI's capacity to present information in an understandable and comprehensible way, which aligns with the Understandable code."", ""The term 'useful' directly indicates the utility of AI feedback, emphasizing its practical value in processing and presenting large amounts of information.""]";['T-more', 'A-more', 'A-more'];['Reliable', 'Understandable', 'Volume'];['Information', 'Information', 'Processes'];['Quality', 'Quality', 'Access'];"[""The phrase 'the teacher is always going to be the more trustworthy source' explicitly compares the teacher to AI in terms of reliability, indicating that the teacher is perceived as more trustworthy."", ""The statement 'AI's ability to collate large amounts of information into a digestible chunk' highlights AI's capacity to present information in an understandable and comprehensible way, which aligns with the Understandable code."", ""The reference to 'collate large amounts of information' directly points to AI's ability to handle a greater volume of information, which matches the Volume code.""]";2;3;3;3;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;1.0;1.0;1.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666
R_1gTNWbmwxtRxrf8;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;no, teachers and ai are usually fairly similar in feedback delivery style;[];[];['B-similar'];['Positivity'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers are comparable in their tone or manner of delivering feedback. The Positivity code is appropriate as it captures the affective framing of feedback delivery, which the student perceives as similar for both actors.""]";['B-similar'];['Positivity'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers are comparable in their tone or manner of delivering feedback. The Positivity code is appropriate as it captures the neutral or supportive delivery style implied by the student.""]";['B-similar'];['Positivity'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers are comparable in their tone or manner of delivering feedback. The Positivity code is appropriate as it captures the neutral or supportive delivery style implied by the student.""]";0;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
R_1gTNWbmwxtRxrf8;Question 42;Describe any other differences between the feedback you received from GenAI and your teacher.;nil;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
R_1VQ5hmwtdpRmnmu;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;GenAI is helpful for finding technical errors and finding understandable overvies of specific topics. Teachers on the other hand search for more implicit reasonigns when providing feedback;['B-similar', 'A-more', 'T-more'];['Utility', 'Understanding', 'In-depth'];['A-more', 'T-more'];['Specificity', 'In-depth'];['Information', 'Information'];['Quality', 'Quality'];"[""The phrase 'helpful for finding technical errors and finding understandable overviews of specific topics' indicates that GenAI provides detailed and specific information. This aligns with the Specificity code, which captures feedback that is precise and detailed."", ""The phrase 'search for more implicit reasonings when providing feedback' suggests that teachers focus on deeper, more nuanced aspects of reasoning. This aligns with the In-depth code, which captures feedback that is thorough and nuanced.""]";['A-more', 'A-more', 'T-more'];['Reliable', 'Understandable', 'In-depth'];['Information', 'Information', 'Information'];['Quality', 'Quality', 'Quality'];"[""The phrase 'helpful for finding technical errors' suggests that GenAI provides accurate and precise feedback, which aligns with the Reliable code under the Quality sub-theme."", ""The mention of 'finding understandable overviews of specific topics' directly maps to the Understandable code, as it highlights the clarity and digestibility of the information provided by GenAI."", ""The phrase 'search for more implicit reasonings' indicates that teachers provide deeper, more nuanced feedback, which aligns with the In-depth code under the Quality sub-theme.""]";['A-more', 'T-more'];['Specificity', 'In-depth'];['Information', 'Information'];['Quality', 'Quality'];"[""The phrase 'helpful for finding technical errors and finding understandable overviews of specific topics' indicates that GenAI provides detailed and specific information. This aligns with the Specificity code, which captures feedback that is precise and detailed."", ""The statement 'search for more implicit reasonings when providing feedback' suggests that teachers focus on deeper, more nuanced aspects of reasoning. This aligns with the In-depth code, which captures feedback that is thorough and nuanced.""]";3;2;3;2;0.25;0.2;0.25;0.25;0.2;0.25;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.5;0.5;0.25;0.2;0.25
R_1VQ5hmwtdpRmnmu;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;A teachers feedback will impact you more than an AI as GenAI is designed to be neutral, and provides code generated feedback, however, a teachers feedback is far more impactful as it is a human makign judgements on your work, thus your feelings of reward and disappointment will be greater;['A-more', 'T-more'];['No impact', 'Personal'];['T-more', 'T-more', 'A-less'];['Positive', 'Negative', 'Positivity'];['Feeling', 'Feeling', 'Information'];['Feeling', 'Feeling', 'Tone'];"[""The statement 'a teacher's feedback will impact you more' and 'your feelings of reward... will be greater' indicates that teacher feedback elicits stronger positive emotional responses compared to AI feedback. The Positive code captures feelings of encouragement or reward, which the student attributes to teacher feedback."", ""The phrase 'your feelings of... disappointment will be greater' explicitly highlights stronger negative emotional responses to teacher feedback. The Negative code captures discouraging or frustrating emotions, which the student associates more with teacher feedback than AI."", ""The description 'GenAI is designed to be neutral' implies a lack of emotional tone, contrasting with the emotional impact of teacher feedback. The Positivity code applies here as the student suggests AI feedback is less emotionally uplifting or supportive.""]";['T-more', 'T-more', 'A-less'];['Positive', 'Negative', 'No impact'];['Feeling', 'Feeling', 'Feeling'];['Feeling', 'Feeling', 'Feeling'];"[""The statement 'a teacher's feedback is far more impactful' and 'your feelings of reward... will be greater' indicates that teacher feedback elicits stronger positive emotional responses compared to AI."", ""The phrase 'your feelings of... disappointment will be greater' explicitly highlights that teacher feedback also evokes stronger negative emotional responses compared to AI."", ""The description 'GenAI is designed to be neutral' implies that AI feedback has a lesser emotional impact, aligning with the No impact code which captures indifference or lack of emotional response.""]";['T-more', 'T-more', 'A-less'];['Positive', 'Negative', 'No impact'];['Feeling', 'Feeling', 'Feeling'];['Feeling', 'Feeling', 'Feeling'];"[""The statement 'a teacher's feedback will impact you more' and 'your feelings of reward... will be greater' indicates that teacher feedback elicits stronger positive emotional responses compared to AI."", ""The phrase 'your feelings of... disappointment will be greater' explicitly highlights that teacher feedback also evokes stronger negative emotional responses compared to AI."", ""The description of GenAI as 'designed to be neutral' and providing 'code-generated feedback' suggests that AI feedback has less emotional impact, aligning with the No impact code.""]";2;3;3;3;0.0;0.25;0.25;0.0;0.25;0.25;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.0;0.0;0.0
R_1VQ5hmwtdpRmnmu;Question 42;Describe any other differences between the feedback you received from GenAI and your teacher.;teachers search more for the greater meaning of a piece of work, and attempt to understand the ideology and thought process behind the work;[];[];['T-more', 'T-more'];['In-depth', 'Personal'];['Information', 'Relational'];['Quality', 'Relational'];"[""The phrase 'teachers search more for the greater meaning of a piece of work' indicates a deeper level of analysis and understanding, which aligns with the In-depth code that captures nuanced and detailed feedback."", ""The statement 'attempt to understand the ideology and thought process behind the work' reflects an effort to engage with the student's personal ideas and reasoning, which aligns with the Personal code that captures relational and supportive feedback.""]";['T-more', 'T-more'];['In-depth', 'Personal'];['Information', 'Relational'];['Quality', 'Relational'];"[""The phrase 'teachers search more for the greater meaning of a piece of work' indicates a deeper level of analysis and understanding, which aligns with the In-depth code that captures nuanced and detailed feedback."", ""The statement 'attempt to understand the ideology and thought process behind the work' reflects an effort to engage with the student's personal ideas and reasoning, which aligns with the Personal code capturing relational and supportive feedback.""]";['T-more', 'T-more'];['Understanding', 'Personal'];['Sense-making', 'Relational'];['Sense-making', 'Relational'];"[""The phrase 'teachers search more for the greater meaning of a piece of work' indicates that teachers focus on comprehending the deeper aspects of the work. This aligns with the Understanding code, which captures efforts to help make sense of or grasp the meaning of something."", ""The statement 'attempt to understand the ideology and thought process behind the work' reflects a relational effort to connect with the student's perspective and thought process. This aligns with the Personal code, which captures relational and supportive feedback that considers the individual's context.""]";0;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555555;0.5555555555555555;0.0;0.0;0.0
R_43e00PZDT3YYIZ2;Question 43;Why didn’t you use GenAI for feedback on your work?;I didn't know how / if gen AI would know about how to improve my work from a Nursign perspective. I m also very new to this so i Didn't even think about it;['', ''];['Unaware', 'Contextualised'];[''];['Unaware'];['Processes'];['Access'];"[""The student states 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' and 'I m also very new to this so i Didn't even think about it,' which indicates a lack of awareness about GenAI's capabilities and how to use it. This aligns with the Unaware code under Processes → Access.""]";['', ''];['Unaware', 'Unaware'];['Processes', 'Processes'];['Access', 'Access'];"[""The clause 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' indicates a lack of knowledge about GenAI's capabilities in providing feedback specific to their field. This aligns with the Unaware code, which captures respondents not knowing how to use GenAI or its potential applications."", ""The clause 'I'm also very new to this so I didn't even think about it' reflects a lack of awareness or consideration of GenAI as an option. This directly maps to the Unaware code, which includes not thinking of using GenAI.""]";['', ''];['Unaware', 'Unaware'];['Processes', 'Processes'];['Access', 'Access'];"[""The clause 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' indicates a lack of knowledge about GenAI's capabilities in providing feedback specific to their field. This aligns with the Unaware code, which captures respondents not knowing how to use GenAI or its potential applications."", ""The statement 'I'm also very new to this so I didn't even think about it' reflects unfamiliarity and a lack of awareness about using GenAI for feedback. This directly maps to the Unaware code, as it highlights not thinking of or knowing about the possibility of using GenAI.""]";2;1;2;2;0.5;0.5;0.5;0.5;0.3333333333333333;0.3333333333333333;1.0;1.0;1.0;1.0;0.6666666666666666;0.5;0.3333333333333333;0.3333333333333333
R_4aRLJoWmhKsYLOF;Question 43;Why didn’t you use GenAI for feedback on your work?;Did not know that it could be used like that.;[''];['Unaware'];[''];['Unaware'];['Processes'];['Access'];"[""The statement 'Did not know that it could be used like that' directly indicates a lack of awareness about GenAI's capability to provide feedback. This aligns with the Unaware code under Processes → Access, which captures respondents who did not know GenAI could perform this function.""]";[''];['Unaware'];['Processes'];['Access'];"[""The phrase 'Did not know that it could be used like that' directly indicates a lack of awareness about GenAI's capability to provide feedback. This aligns with the Unaware code under Processes → Access, which captures respondents who did not know GenAI could perform this function.""]";[''];['Unaware'];['Processes'];['Access'];"[""The statement 'Did not know that it could be used like that' directly indicates a lack of awareness about GenAI's capability to provide feedback. This aligns with the Unaware code under Processes → Access, which captures respondents who did not know GenAI could perform this function.""]";1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
R_4AYVtTmMd0q7vte;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;GenAI is available 24/7 and responds instantly whereas teachers take a while or never respond so there was n;['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Ease'];['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Ease'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The phrase 'GenAI is available 24/7' directly indicates ease of access, as it highlights constant availability, which aligns with the Ease code."", ""The term 'responds instantly' explicitly refers to the immediacy of GenAI's feedback, which matches the Speed code."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's availability, indicating that teachers are less accessible, which aligns with the Ease code.""]";['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Ease'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The phrase 'GenAI is available 24/7' directly indicates ease of access, highlighting its constant availability compared to teachers."", ""The term 'responds instantly' explicitly maps to the Speed code, emphasizing the immediacy of GenAI's feedback compared to teachers."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's availability, indicating that teachers are less accessible or responsive.""]";['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Ease'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The phrase 'GenAI is available 24/7' directly indicates ease of access, as it highlights constant availability, which aligns with the Ease code."", ""The term 'responds instantly' explicitly maps to the Speed code, as it emphasizes immediate response time."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's availability, indicating that teachers are less accessible, which aligns with the Ease code.""]";3;3;3;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
R_4AYVtTmMd0q7vte;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;No;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
