ResponseId;Question;Question_Text;Response_Text;Human_Actor_Comparator;Human_Characteristics;Iteration1_Actor_Comparator;Iteration1_Characteristics;Iteration1_Themes;Iteration1_SubThemes;Iteration1_Reasonings;Iteration2_Actor_Comparator;Iteration2_Characteristics;Iteration2_Themes;Iteration2_SubThemes;Iteration2_Reasonings;Iteration3_Actor_Comparator;Iteration3_Characteristics;Iteration3_Themes;Iteration3_SubThemes;Iteration3_Reasonings;Human_Chunks;Iteration1_Chunks;Iteration2_Chunks;Iteration3_Chunks;Iteration1_Agreement;Iteration2_Agreement;Iteration3_Agreement;Iteration1_Multiset_Agreement;Iteration2_Multiset_Agreement;Iteration3_Multiset_Agreement;Iteration1_Actor_Agreement;Iteration2_Actor_Agreement;Iteration3_Actor_Agreement;LLM_Inter_Agreement_Set;LLM_Inter_Agreement_Multiset;Iteration1_ACChar_Multiset_Agreement;Iteration2_ACChar_Multiset_Agreement;Iteration3_ACChar_Multiset_Agreement
R_1gTNWbmwxtRxrf8;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;between AI and a teacher, the teacher is always going to be the more trustworthy source, however AI's ability to collate large amounts of information into a digestible chunk is useful;['T-more', 'A-more'];['Reliable', 'Understandable'];['T-more', 'A-more'];['Reliable', 'Understandable'];['Information', 'Information'];['Quality', 'Quality'];"[""The statement 'the teacher is always going to be the more trustworthy source' explicitly highlights the teacher as being more reliable. The Reliable code captures trustworthiness and accuracy, which the student attributes to the teacher."", ""The phrase 'AI's ability to collate large amounts of information into a digestible chunk' directly refers to making information easier to understand. The Understandable code captures clarity and simplicity, which the student associates with AI.""]";['T-more', 'A-more'];['Reliable', 'Understandable'];['Information', 'Information'];['Quality', 'Quality'];"[""The statement 'the teacher is always going to be the more trustworthy source' explicitly highlights the teacher as being more reliable. The Reliable code captures trustworthiness and accuracy, which the student attributes to the teacher."", ""The phrase 'AI's ability to collate large amounts of information into a digestible chunk' directly refers to making information easier to understand. The Understandable code captures clarity and simplicity, which the student associates with AI.""]";['T-more', 'A-more'];['Reliable', 'Understandable'];['Information', 'Information'];['Quality', 'Quality'];"[""The statement 'the teacher is always going to be the more trustworthy source' explicitly highlights the teacher as being more reliable. The Reliable code captures trustworthiness and accuracy, which the student attributes to the teacher."", ""The phrase 'AI's ability to collate large amounts of information into a digestible chunk' directly refers to making information easier to understand. The Understandable code captures clarity and simplicity, which the student associates with AI.""]";2;2;2;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
R_1gTNWbmwxtRxrf8;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;no, teachers and ai are usually fairly similar in feedback delivery style;[];[];['B-similar'];['Understandable'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers provide feedback in a comparable manner. The Understandable code captures clarity and ease of comprehension, which aligns with the student's description of similarity in delivery style.""]";['B-similar'];['Understandable'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers provide feedback in a comparable manner. The Understandable code captures clarity and ease of comprehension, which aligns with the student's description of similarity in delivery style.""]";['B-similar'];['Understandable'];['Information'];['Tone'];"[""The phrase 'fairly similar in feedback delivery style' suggests that both AI and teachers provide feedback in a comparable manner. The Understandable code captures clarity and ease of comprehension, which aligns with the student's description of similarity in delivery style.""]";0;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
R_1gTNWbmwxtRxrf8;Question 42;Describe any other differences between the feedback you received from GenAI and your teacher.;nil;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
R_1VQ5hmwtdpRmnmu;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;GenAI is helpful for finding technical errors and finding understandable overvies of specific topics. Teachers on the other hand search for more implicit reasonigns when providing feedback;['B-similar', 'A-more', 'T-more'];['Utility', 'Understanding', 'In-depth'];['A-more', 'T-more'];['Specificity', 'Reflection'];['Information', 'Sense-making'];['Quality', 'Sense-making'];"[""The phrase 'helpful for finding technical errors and finding understandable overviews of specific topics' indicates that GenAI provides detailed and precise feedback, aligning with the Specificity code."", ""The statement 'Teachers on the other hand search for more implicit reasonings when providing feedback' suggests that teachers encourage deeper thinking and self-examination, which aligns with the Reflection code.""]";['A-more', 'T-more'];['Specificity', 'Reflection'];['Information', 'Sense-making'];['Quality', 'Sense-making'];"[""The phrase 'helpful for finding technical errors and finding understandable overviews of specific topics' indicates that GenAI provides detailed and precise feedback, aligning with the Specificity code."", ""The statement 'Teachers on the other hand search for more implicit reasonings when providing feedback' suggests that teachers encourage deeper thinking and self-examination, which aligns with the Reflection code.""]";['A-more', 'T-more'];['Specificity', 'Reflection'];['Information', 'Sense-making'];['Quality', 'Sense-making'];"[""The phrase 'helpful for finding technical errors and finding understandable overviews of specific topics' indicates that GenAI provides detailed and precise feedback, aligning with the Specificity code."", ""The statement 'Teachers on the other hand search for more implicit reasonings when providing feedback' suggests that teachers encourage deeper thinking and self-examination, which aligns with the Reflection code.""]";3;2;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;1.0;1.0;0.0;0.0;0.0
R_1VQ5hmwtdpRmnmu;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;A teachers feedback will impact you more than an AI as GenAI is designed to be neutral, and provides code generated feedback, however, a teachers feedback is far more impactful as it is a human makign judgements on your work, thus your feelings of reward and disappointment will be greater;['A-more', 'T-more'];['No impact', 'Personal'];['T-more', 'T-more', 'A-more'];['Positive', 'Negative', 'Objective'];['Feeling', 'Feeling', 'Information'];['Feeling', 'Feeling', 'Tone'];"[""The statement 'a teacher's feedback will impact you more' and 'your feelings of reward... will be greater' indicates that teacher feedback evokes stronger positive emotions compared to AI feedback. The Positive code captures feelings of encouragement or reward, which the student attributes more to teacher feedback."", ""The phrase 'your feelings of... disappointment will be greater' explicitly points to stronger negative emotional responses to teacher feedback. The Negative code captures discouraging or frustrating emotions, which the student associates more with teacher feedback."", ""The description 'GenAI is designed to be neutral' suggests that AI feedback is perceived as impartial and free of personal bias. The Objective code captures this characteristic of neutrality, which the student attributes more to AI feedback.""]";['T-more', 'T-more', 'A-more'];['Positive', 'Negative', 'Objective'];['Feeling', 'Feeling', 'Information'];['Feeling', 'Feeling', 'Tone'];"[""The statement 'a teacher's feedback will impact you more' and 'your feelings of reward... will be greater' indicates that teacher feedback evokes stronger positive emotions compared to AI feedback. The Positive code captures feelings of encouragement or reward, which the student attributes more to teacher feedback."", ""The phrase 'your feelings of... disappointment will be greater' explicitly points to stronger negative emotional responses to teacher feedback. The Negative code captures discouraging or frustrating emotions, which the student associates more with teacher feedback."", ""The description 'GenAI is designed to be neutral' suggests that AI feedback is perceived as impartial and free of personal bias. The Objective code captures this characteristic of neutrality, which the student attributes more to AI feedback.""]";['T-more', 'T-more', 'A-more'];['Positive', 'Negative', 'Objective'];['Feeling', 'Feeling', 'Information'];['Feeling', 'Feeling', 'Tone'];"[""The statement 'a teacher's feedback will impact you more' and 'your feelings of reward... will be greater' indicates that teacher feedback evokes stronger positive emotions compared to AI feedback. The Positive code captures feelings of encouragement or reward, which the student attributes more to teacher feedback."", ""The phrase 'your feelings of... disappointment will be greater' explicitly points to stronger negative emotional responses to teacher feedback. The Negative code captures discouraging or frustrating emotions, which the student associates more with teacher feedback."", ""The description 'GenAI is designed to be neutral' suggests that AI feedback is perceived as impartial and free of personal bias. The Objective code captures this characteristic of neutrality, which the student attributes more to AI feedback.""]";2;3;3;3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
R_1VQ5hmwtdpRmnmu;Question 42;Describe any other differences between the feedback you received from GenAI and your teacher.;teachers search more for the greater meaning of a piece of work, and attempt to understand the ideology and thought process behind the work;[];[];['T-more'];['Reflection'];['Sense-making'];['Reflection'];"[""The phrase 'teachers search more for the greater meaning of a piece of work' and 'attempt to understand the ideology and thought process behind the work' indicates a focus on deeper analysis and critical thinking. This aligns with the Reflection code, which captures feedback that encourages self-examination and deeper consideration of one's work.""]";['T-more'];['Reflection'];['Sense-making'];['Reflection'];"[""The statement 'teachers search more for the greater meaning of a piece of work' and 'attempt to understand the ideology and thought process behind the work' suggests that teacher feedback encourages deeper critical thinking and self-examination. This aligns with the Reflection code, which captures feedback that prompts deeper consideration of one's learning or work.""]";['T-more'];['Reflection'];['Sense-making'];['Reflection'];"[""The statement 'teachers search more for the greater meaning of a piece of work' and 'attempt to understand the ideology and thought process behind the work' indicates that teacher feedback encourages deeper critical thinking and self-examination. This aligns with the Reflection code, which captures feedback that fosters deeper consideration of one's learning or work.""]";0;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
R_43e00PZDT3YYIZ2;Question 43;Why didn’t you use GenAI for feedback on your work?;I didn't know how / if gen AI would know about how to improve my work from a Nursign perspective. I m also very new to this so i Didn't even think about it;['', ''];['Unaware', 'Contextualised'];['', ''];['Unaware', 'Unaware'];['Processes', 'Processes'];['Access', 'Access'];"[""The statement 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' reflects uncertainty about how GenAI operates or its potential to provide feedback, aligning with the Unaware code under Processes → Access."", ""The clause 'I'm also very new to this so I didn't even think about it' indicates a lack of familiarity and consideration of GenAI as a feedback tool, which directly maps to the Unaware code under Processes → Access.""]";['', ''];['Unaware', 'Unaware'];['Processes', 'Processes'];['Access', 'Access'];"[""The statement 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' reflects uncertainty about how GenAI operates or its potential to provide feedback, aligning with the Unaware code under Processes → Access."", ""The clause 'I'm also very new to this so I didn't even think about it' indicates a lack of familiarity and consideration of GenAI as a feedback tool, which directly maps to the Unaware code under Processes → Access.""]";['', ''];['Unaware', 'Unaware'];['Processes', 'Processes'];['Access', 'Access'];"[""The statement 'I didn't know how / if gen AI would know about how to improve my work from a Nursing perspective' reflects uncertainty about how GenAI operates or its potential to provide feedback, aligning with the Unaware code under Processes → Access."", ""The clause 'I'm also very new to this so I didn't even think about it' indicates a lack of familiarity and consideration of GenAI as a feedback tool, which directly maps to the Unaware code under Processes → Access.""]";2;2;2;2;0.5;0.5;0.5;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;1.0;1.0;1.0;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
R_4aRLJoWmhKsYLOF;Question 43;Why didn’t you use GenAI for feedback on your work?;Did not know that it could be used like that.;[''];['Unaware'];[''];['Unaware'];['Processes'];['Access'];"[""The phrase 'Did not know that it could be used like that' directly indicates a lack of awareness about GenAI's capability to provide feedback. This aligns with the Unaware code, which captures situations where students are unaware of the tool's potential or operation.""]";['', ''];['Unaware', 'Preference'];['Processes', 'Value'];['Access', 'Value'];"[""The phrase 'I didn't even know that this could be done' explicitly states a lack of awareness about GenAI's ability to provide feedback. This directly aligns with the Unaware code, which captures situations where students are unaware of the tool's potential or operation."", ""The statement 'I prefer to use my brain more to have creativity and originality in my work' reflects a personal preference to avoid GenAI in favor of fostering creativity and originality. This aligns with the Preference code, which captures a general dislike or lack of interest in using AI for feedback.""]";['', ''];['Unaware', 'Preference'];['Processes', 'Value'];['Access', 'Value'];"[""The phrase 'I didn't even know that this could be done' explicitly indicates a lack of awareness about GenAI's capability to provide feedback. This aligns with the Unaware code, which captures situations where students are unaware of the tool's potential or operation."", ""The statement 'I prefer to use my brain more to have creativity and originality in my work' reflects a personal preference to avoid GenAI in favor of fostering creativity and originality. This aligns with the Preference code, which captures a general dislike or lack of interest in using AI for feedback.""]";1;1;2;2;1.0;0.5;0.5;1.0;0.5;0.5;1.0;1.0;1.0;0.6666666666666666;0.6666666666666666;1.0;0.5;0.5
R_4AYVtTmMd0q7vte;Question 40;Please describe any differences in how it impacted your learning (comparing GenAI and your teacher)?;GenAI is available 24/7 and responds instantly whereas teachers take a while or never respond so there was n;['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Ease'];['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Speed'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The phrase 'GenAI is available 24/7' indicates convenience and lack of barriers in accessing feedback, which aligns with the Ease code under Access."", ""The phrase 'responds instantly' directly maps to the Speed code, highlighting the immediacy and time-saving nature of GenAI feedback."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's instant responses, indicating slower or absent feedback from teachers, which aligns with the Speed code.""]";['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Speed'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The statement 'GenAI is available 24/7' highlights the convenience and lack of barriers in accessing feedback, which aligns with the Ease code under Access."", ""The phrase 'responds instantly' directly maps to the Speed code, emphasizing the immediacy and time-saving nature of GenAI feedback."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's instant responses, indicating slower or absent feedback from teachers, which aligns with the Speed code.""]";['A-more', 'A-more', 'T-less'];['Ease', 'Speed', 'Speed'];['Processes', 'Processes', 'Processes'];['Access', 'Access', 'Access'];"[""The statement 'GenAI is available 24/7' reflects the convenience and lack of barriers in accessing feedback, which aligns with the Ease code under Access."", ""The phrase 'responds instantly' directly corresponds to the Speed code, emphasizing the immediacy and time-saving nature of GenAI feedback."", ""The statement 'teachers take a while or never respond' contrasts with GenAI's instant responses, indicating slower or absent feedback from teachers, which aligns with the Speed code.""]";3;3;3;3;1.0;1.0;1.0;0.5;0.5;0.5;1.0;1.0;1.0;1.0;1.0;0.5;0.5;0.5
R_4AYVtTmMd0q7vte;Question 41;Were there any differences in how the feedback made you feel (comparing GenAI and your teacher)?;No;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
